id,ra_deg,dec_deg,u,v,mag,electrons_deposited
114487,348.20612818,6.52693019,569.360,100.416,10.760,0.248296
114494,348.22331955,6.95140641,568.986,91.261,9.420,0.853041
114502,348.25148518,0.03080051,568.373,239.344,7.630,4.435780
114507,348.27093740,8.96344879,567.950,47.612,6.690,10.543141
114509,348.27133720,0.43447954,567.942,230.751,8.800,1.509976
114517,348.30210307,2.06222700,567.273,196.085,9.500,0.792447
114525,348.31357254,5.73878480,567.024,117.440,8.860,1.428795
114536,348.34173773,7.99140863,566.411,68.809,8.380,2.223156
114538,348.34906284,2.67537604,566.252,183.021,7.400,5.482391
114542,348.36477625,8.90810492,565.911,48.884,7.810,3.758114
114543,348.36832105,0.93062170,565.834,220.194,7.540,4.819145
114544,348.37134091,7.18057865,565.768,86.389,8.600,1.815390
114564,348.42098512,2.20348475,564.690,193.094,7.180,6.713825
114570,348.45387287,7.91755816,563.976,70.480,10.310,0.375811
114576,348.46789627,4.82397366,563.671,137.136,12.010,0.078518
114589,348.50213644,4.99713232,562.928,133.438,7.060,7.498424
114595,348.51718053,3.31003342,562.601,169.519,8.980,1.279293
114599,348.52663909,2.63493253,562.396,183.919,7.140,6.965784
114601,348.52977577,8.92423966,562.328,48.645,7.550,4.774963
114602,348.53031710,8.93119767,562.316,48.494,8.200,2.624037
114606,348.53273019,8.38711397,562.264,60.336,8.470,2.046303
114623,348.58055219,6.04852680,561.226,110.900,4.220,102.558109
114651,348.67456355,9.68836024,559.187,32.063,7.550,4.774963
114662,348.70701855,7.70282526,558.484,75.281,7.370,5.635987
114669,348.72896940,1.05624973,558.008,217.548,8.700,1.655656
114682,348.77456154,5.49755001,557.020,122.816,8.510,1.972287
114683,348.77472214,8.78945031,557.017,51.743,8.830,1.468825
114694,348.80399756,6.12184355,556.383,109.425,7.480,5.092957
114702,348.83347054,4.53408246,555.744,143.468,8.320,2.349471
114711,348.85536155,6.17934852,555.270,108.213,7.750,3.971641
114721,348.89277051,3.49637244,554.460,165.639,5.560,29.851764
114722,348.89450903,1.79133132,554.423,201.937,11.210,0.164048
114732,348.91732352,1.30837737,553.929,212.205,6.760,9.884848
114748,348.95322738,2.99076327,553.152,176.427,9.070,1.177525
114751,348.95850397,0.04067863,553.038,239.136,10.030,0.486374
114754,348.97198728,9.08769554,552.746,45.380,4.240,100.686212
114759,348.98645417,6.88723934,552.433,93.042,8.740,1.595769
114763,348.99296394,1.42387823,552.292,209.759,6.930,8.452205
114764,348.99331942,0.66987236,552.284,225.775,9.510,0.785181
114790,349.08134175,6.58900116,550.381,99.509,9.360,0.901509
114801,349.11013362,8.03718447,549.758,68.275,8.810,1.496132
114804,349.11361672,8.15886297,549.683,65.642,8.760,1.566643
114805,349.11695952,10.21144038,549.611,20.933,7.980,3.213439
114809,349.12996932,6.99606218,549.330,90.770,11.940,0.083747
114812,349.14193441,7.58038570,549.071,78.171,8.080,2.930691
114813,349.14642505,1.58657079,548.974,206.319,7.600,4.560054
114838,349.21229368,7.72646619,547.551,75.053,4.930,53.329806
114840,349.21588833,5.69606922,547.473,118.739,10.510,0.312586
114851,349.24610585,7.16088877,546.821,87.276,6.710,10.350707
114858,349.26744604,10.37087598,546.360,17.549,8.050,3.012798
114859,349.26778178,5.55049943,546.353,121.878,10.160,0.431489
114864,349.27797373,1.23166920,546.133,213.867,8.540,1.918536
114870,349.28955677,3.28224524,545.883,170.297,3.700,165.565561
114876,349.31277118,4.43520046,545.381,145.734,7.600,4.560054
114882,349.32803323,4.45169993,545.052,145.386,8.970,1.291130
114903,349.38430810,9.69355818,543.838,32.448,9.720,0.647098
114911,349.40611593,1.52151756,543.367,207.728,7.880,3.523465
114924,349.44808455,7.54269675,542.462,79.148,8.160,2.722513
114929,349.47390748,4.52182477,541.905,143.936,8.720,1.625436
114931,349.47584844,9.18248990,541.863,43.644,4.410,86.093429
114936,349.48504554,3.02597730,541.665,175.790,8.850,1.442016
114940,349.49944785,9.50343349,541.354,36.671,7.630,4.435780
114949,349.52817591,0.49479383,540.735,229.512,9.260,0.988485
114951,349.53506195,8.54831166,540.586,57.451,9.290,0.961546
114958,349.57653358,7.83503887,539.693,72.906,8.310,2.371210
114962,349.58472778,0.52495525,539.516,228.874,9.140,1.104002
114973,349.61517831,1.89847963,538.860,199.755,8.570,1.866251
114990,349.66240288,1.92573384,537.843,199.183,9.300,0.952730
115000,349.70081915,3.24681087,537.016,171.142,7.500,5.000000
115004,349.71171956,5.09963119,536.781,131.682,8.860,1.428795
115011,349.72577444,5.40573419,536.478,125.147,8.020,3.097205
115014,349.74021218,9.61073100,536.167,34.491,4.990,50.462644
115016,349.75599311,9.05972013,535.828,46.487,10.000,0.500000
115036,349.83457148,7.21498791,534.137,86.402,7.380,5.584316
115041,349.84941462,5.12430243,533.817,131.202,5.560,29.851764
115048,349.86889439,5.88487409,533.398,114.955,8.410,2.162569
115059,349.91244052,9.67670530,532.462,33.164,8.730,1.610534
115060,349.91248053,9.07410271,532.461,46.270,9.270,0.979422
115065,349.91780245,3.37164682,532.347,168.538,10.210,0.412069
115081,349.95031471,7.98217021,531.648,69.928,6.910,8.609343
115089,349.96659788,0.46589973,531.298,230.138,10.310,0.375811
115094,349.99335153,5.16560098,530.722,130.369,11.860,0.090151
115109,350.02774580,5.64735627,529.983,120.094,8.990,1.267564
115112,350.04822322,1.16695629,529.543,215.301,11.650,0.109388
115119,350.06533995,3.91887496,529.176,156.943,6.640,11.040024
115122,350.07622720,6.87234676,528.942,93.878,7.950,3.303467
115126,350.08557117,5.38145156,528.741,125.794,5.050,47.749629
115141,350.13593917,8.91897626,527.659,49.767,8.830,1.468825
